Country,City,Year,Crime Index
India,CityA,2015,48.73
India,CityA,2016,67.7
India,CityA,2017,39.11
India,CityA,2018,37.0
India,CityA,2019,64.89
India,CityA,2020,38.38
India,CityA,2021,75.9
India,CityA,2022,43.88
India,CityA,2023,53.41
India,CityB,2015,51.6
India,CityB,2016,61.23
India,CityB,2017,46.34
India,CityB,2018,56.66
India,CityB,2019,44.04
India,CityB,2020,62.35
India,CityB,2021,64.4
India,CityB,2022,43.39
India,CityB,2023,88.75
India,CityC,2015,45.23
India,CityC,2016,65.15
India,CityC,2017,38.09
India,CityC,2018,35.95
India,CityC,2019,47.59
India,CityC,2020,50.69
India,CityC,2021,61.44
India,CityC,2022,87.41
India,CityC,2023,88.13
India,CityD,2015,59.89
India,CityD,2016,35.12
India,CityD,2017,33.91
India,CityD,2018,51.75
India,CityD,2019,74.86
India,CityD,2020,49.26
India,CityD,2021,44.86
India,CityD,2022,44.14
India,CityD,2023,74.2
USA,CityA,2015,30.28
USA,CityA,2016,66.57
USA,CityA,2017,69.71
USA,CityA,2018,49.77
USA,CityA,2019,77.65
USA,CityA,2020,49.36
USA,CityA,2021,50.5
USA,CityA,2022,74.44
USA,CityA,2023,82.14
USA,CityB,2015,35.98
USA,CityB,2016,69.1
USA,CityB,2017,70.54
USA,CityB,2018,58.92
USA,CityB,2019,33.7
USA,CityB,2020,37.25
USA,CityB,2021,51.77
USA,CityB,2022,80.62
USA,CityB,2023,60.56
USA,CityC,2015,41.44
USA,CityC,2016,45.15
USA,CityC,2017,79.1
USA,CityC,2018,65.78
USA,CityC,2019,72.93
USA,CityC,2020,79.82
USA,CityC,2021,78.75
USA,CityC,2022,50.17
USA,CityC,2023,48.81
USA,CityD,2015,70.9
USA,CityD,2016,31.36
USA,CityD,2017,52.31
USA,CityD,2018,38.51
USA,CityD,2019,80.44
USA,CityD,2020,61.95
USA,CityD,2021,57.01
USA,CityD,2022,83.38
USA,CityD,2023,61.27
UK,CityA,2015,44.24
