Country,Region,Latitude,Longitude,Year,Crime Index
India,Asia,20.2031916102983,78.83259129047242,2018,51.63618955651778
India,Asia,20.043310420790654,79.57178781739061,2019,75.85172355733752
India,Asia,18.502341241855344,76.82897151255274,2020,42.0586881320332
India,Asia,19.763239374602545,76.11950484351426,2021,58.273328975788445
India,Asia,20.596576190459043,77.1139491305919,2022,67.05019607920525
India,Asia,20.363451269665404,76.09592752950866,2023,62.35416351963528
India,Asia,19.037009787629863,77.66040478804028,2024,51.34100327085275
USA,North America,37.77255167325198,-95.23818512931705,2018,46.27470953899853
USA,North America,37.17859607212738,-93.87874094195453,2019,52.25454129504719
USA,North America,35.88783153572872,-95.44811496977741,2020,77.45534599441721
USA,North America,38.90398168989174,-94.31046529634875,2021,76.11336434153591
USA,North America,38.383003485172715,-95.48802383468444,2022,43.68868035486897
USA,North America,37.613643610094144,-94.7686369504462,2023,54.46259052250312
USA,North America,35.90021801935933,-95.37392033449501,2024,58.75760994796676
UK,Europe,54.076942313004245,-3.8328289030982696,2018,58.307455972919115
UK,Europe,56.44213565178771,-2.6549883821287144,2019,51.33951449728839
UK,Europe,54.11191002649441,-3.181511697912213,2020,48.2164137841995
UK,Europe,53.80551484417229,-2.9438597607302324,2021,43.489174751232184
UK,Europe,54.934342129406346,-3.5512951504486665,2022,68.30746487262684
UK,Europe,55.98698489240802,-2.2356283125769427,2023,67.56721655019656
UK,Europe,54.494400496595716,-2.32746078105893,2024,53.59394655827272
Brazil,South America,-13.7088245205245,-51.6967713677405,2018,57.80580197054128
Brazil,South America,-15.753884276680242,-52.02929831126265,2019,78.8641042469427
Brazil,South America,-15.077663182579704,-50.23408995621068,2020,66.01907432854958
Brazil,South America,-13.104243442250072,-51.099645557462274,2021,63.866550984074514
Brazil,South America,-15.732122304268694,-52.70975144871107,2022,47.95904105188313
Brazil,South America,-15.392556011965835,-52.59958262167422,2023,45.17175458435417
Brazil,South America,-13.786889072769386,-52.24874070030449,2024,78.08404972124833
